ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
68478,Kumyk,kumy1244,,kum,,
68479,Tabasaran,taba1259,,tab,,
68480,Aghul,aghu1253,,agx,,
68481,Tsakhur,tsak1249,,tkr,,
68482,Rutul,rutu1240,,rut,,
68483,Azerbaijani,nort2697,,azj,,
68484,Tuvan,tuvi1240,,tyv,,
68485,Akkadian,akka1240,,akk,,
68486,Old Gutnish,,,,,
68489,Southern Altai,sout2694,,alt,,
68495,Old Catalan,,,,,
68496,Old Polish,,,,,
