ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,time_frame,Longitude,Latitude
11600,Buru,buru1303,,mhs,,,1750–2000,126.66412,-3.489321
21200,Malagasy (Merina),meri1243,,,,,1750–2000,47.562928,-18.876835
24450,Eastern Bontok,fina1242,,bkb,,,1750–2000,121.077816,17.145296
35000,Conjubim,kuyu1236,,,,,1750–2000,-64.167083,-12.242937
35100,Proto-Indo-European,indo1319,,,,,,31.897499,47.688327
36100,Modern Armenian,nucl1235,,hye,,,1750–2000,44.527159,40.147389
37700,Czech,czec1258,,ces,,,1500–2000,14.468136,50.071244
38400,Middle Breton,midd1359,,xbm,,,1000–1500,-1.532472,47.207854
38600,Middle Welsh,midd1363,,wlm,,,1000–1500,-3.380017,52.240359
38700,Old Breton,oldb1248,,obt,,,750–1000,-2.756737,47.657948
38800,Old Cornish,oldc1252,,oco,,,750–1250,-5.054844,50.263709
39000,Welsh,wels1247,,cym,,,1500–2000,-4.38518,52.926407
40600,Icelandic,icel1247,,isl,,,1750–2000,-21.939672,64.144237
41100,Old Swedish,olds1252,,,,,1000–1500,16.321936,58.481083
41700,German,stan1295,,deu,,,1500–2000,13.409092,52.520822
43200,Modern Greek,mode1248,,ell,,,1500–2000,23.694334,38.028622
43600,Prakrit,midd1350,Middle Indo-Aryan,,,,-250–250,84.727979,25.379098
44500,Old Awadhi,,,,,,1500–1750,80.955201,26.852508
45000,Romani (Bugurdži),bugu1249,,,,,1750–2000,21.222651,42.118106
45100,Romani (Crimean),crim1258,,,,,1750–2000,40.194456,43.590558
45400,Romani (Sepečides),sepe1242,,,,,1750–2000,27.131666,38.392804
45600,Romani (Ursari),ursa1238,,,,,1750–2000,24.592698,46.085349
45800,Romani (East Slovak),east2314,,,,,1750–2000,15.255232,49.763272
45900,Romani (Gurvari),gurv1234,,,,,1750–2000,20.059279,47.040238
46000,Romani (Hungarian Vend),west2927,,,,,1750–2000,17.201586,46.233155
46100,Romani (Prekmurski),prek1240,,,,,1750–2000,15.356687,46.129708
46300,Romani (Veršend),,,,,,1750–2000,19.727951,46.346997
46600,Romani (Burgenland),burg1246,,,,,1750–2000,16.377534,47.193164
46800,Romani (Latvian),latv1250,,,,,1750–2000,24.343824,56.308972
46900,Romani (Lithuanian),lith1252,,,,,1750–2000,22.082897,55.071324
47000,Romani (North Russian),nort2655,,,,,1750–2000,32.363493,54.002981
47500,Romani (Banatiski Gurbet),dzam1241,,,,,1750–2000,20.263488,45.596361
47600,Romani (Dolenjski),,,,,,1750–2000,14.037737,45.958089
47700,Romani (Gurbet),dzam1241,,,,,1750–2000,19.218989,43.781873
48000,Romani (Macedonian Džambazi),,,,,,1750–2000,21.717456,42.131525
48100,Romani (Sremski Gurbet),,,,,,1750–2000,19.853655,45.59485
49200,Lahnda,west2386,,pnb,,,1750–2000,72.507162,30.050444
50000,Old Marathi,oldm1244,,omr,,,1250–1750,75.494714,19.38701
50300,Old Gujarati,,,,,,1250–1750,72.139869,22.44456
51400,Baluchi,sout2642,,bcc,,,1750–2000,65.03622,26.27794
52100,Persian,west2369,,pes,,,1250–2000,55.748043,32.735314
53300,French,stan1290,,fra,,,1500–2000,2.347857,48.854451
54000,Old Italian,fior1236,,,,,1000–1500,11.249249,43.776281
54500,Romanian,roma1327,,ron,,,1500–2000,26.086373,44.427511
54700,Sardinian,logu1236,,srd,,,1750–2000,8.791873,40.552627
55900,Proto-Southern Jê,,,,,,,-49.321967,-27.16847
56500,Georgian,nucl1302,,kat,,,1500–2000,44.824791,41.619549
59520,Stub PIE Swadesh,,,,,,,31.897,47.688
