DIACL_ID	CHECKED	COMMENT	CONCEPT	CONCEPT_ID	CORRECT	DIACL_ID	ENGLISH	FORM	GLOTTOCODE	LANGUAGE	LATITUDE	LONGITUDE	PROBLEM
44100-1001-1	T		ALL	98	T	28372	all (of a number)	sab, sabh	hind1269	Hindi	25	77	
44100-1002-1	T	/rākh, rākhi/	ASH	646	F	28373	ash(es)	rākh	hind1269	Hindi	25	77	2
44100-1002-2	T	/I could not find the word in the sources and the native speaker could not confirm its existence./	ASH	646	F	28374	ash(es)	chāra, chārā	hind1269	Hindi	25	77	1
44100-1003-1	T		BARK	1204	T	28375	bark (of tree)	chāl	hind1269	Hindi	25	77	
44100-1003-2	T	/I could not find the word in the sources and the native speaker could not confirm its existence./	BARK	1204	F	28376	bark (of tree)	bakkal, bakal, baklā	hind1269	Hindi	25	77	1
44100-1004-1	T		BELLY OR STOMACH	2114	T	28377	belly (abdomen, stomach)	peṭ, peṭā	hind1269	Hindi	25	77	
44100-1004-2	T		BELLY OR STOMACH	2114	T	28378	belly (abdomen, stomach)	kūkh, kū̃kh, kokh	hind1269	Hindi	25	77	
44100-1005-1	T		BIG	1202	T	28379	big	baṛ, baṛā	hind1269	Hindi	25	77	
44100-1006-1	T	/pākhī, pãkhī/	BIRD	937	F	28380	bird	pākhī, pãkhī, pakherū	hind1269	Hindi	25	77	2
44100-1006-2	T		BIRD	937	T	28381	bird	ciṛiyā	hind1269	Hindi	25	77	
44100-1007-1	T		BITE	1403	T	28382	to bite	ḍasnā	hind1269	Hindi	25	77	
44100-1008-1	T	/I wasn/t able to find the evidence of this word colexifying BLACK and DARK, so perhaps it should be mapped to the BlACK concept on the Concepticon./	BLACK OR DARK	2633	F	28383	black (colour)	kālā	hind1269	Hindi	25	77	3
44100-1009-1	T		BLOOD	946	T	28384	blood (n)	lohū, lahū, lehū	hind1269	Hindi	25	77	
44100-1010-1	T	/hāṛi/	BONE	1394	F	28385	bone	hāṛ	hind1269	Hindi	25	77	2
44100-1011-1	T	/sthan/	BREAST	1402	F	28386	breast	than	hind1269	Hindi	25	77	2
44100-1011-2	T	/The word means /breast, heart/, so perhaps it should be mapped to the HEART concept on the Concepticon as well./	BREAST	1402	F	28387	breast	ur	hind1269	Hindi	25	77	3
44100-1012-1	T		BURNING	1428	T	28388	to burn (intr.)	dahnā, dādhnā	hind1269	Hindi	25	77	
44100-1012-2	T		BURNING	1428	T	28389	to burn (intr.)	jalnā	hind1269	Hindi	25	77	
44100-1014-1	T		CLOUD	1489	T	28390	cloud (not fog)	bādal	hind1269	Hindi	25	77	
44100-1015-1	T	/shishir/	COLD (OF WEATHER)	2483	F	28391	cold (of weather)	sisir	hind1269	Hindi	25	77	2
44100-1015-2	T		COLD (OF WEATHER)	2483	T	28392	cold (of weather)	ṭhaṇḍh, ṭhaṇḍhā	hind1269	Hindi	25	77	
44100-1016-1	T	/has come/	COME	1446	F	28393	to come	āyā	hind1269	Hindi	25	77	4
44100-1016-2	T		COME	1446	T	28394	to come	ānā	hind1269	Hindi	25	77	
44100-1017-1	T		DIE	1494	T	28395	to die	mūnā, marnā	hind1269	Hindi	25	77	
44100-1018-1	T	/I couldn/t find the word in the sources and the native speaker of Hindi couldn/t confirm its existence./	DOG	2009	F	28396	dog	sūnā	hind1269	Hindi	25	77	1
44100-3021-1	T	/I couldn/t find the word in the sources and the native speaker of Hindi couldn/t confirm its existence./	DOG	2009	F	28396	dog	sūnā	hind1269	Hindi	25	77	1
44100-1018-2	T		DOG	2009	T	28397	dog	kuttā	hind1269	Hindi	25	77	
44100-3021-2	T	double entry	DOG	2009	F	28397	dog	kuttā	hind1269	Hindi	25	77	double entry
44100-1018-3	T	/kūkar, kukur, kukkur/	DOG	2009	F	28398	dog	kūkar, kukur	hind1269	Hindi	25	77	2
44100-1019-1	T		DRINK	1401	T	28399	to drink	pīnā	hind1269	Hindi	25	77	
44100-1020-1	T		DRY	1398	T	28400	dry (adj)	sūkhā, sūkā	hind1269	Hindi	25	77	
44100-1021-1	T		EAR	1247	T	28401	ear	kān	hind1269	Hindi	25	77	
44100-1022-1	T	/The word colexifies /world/ and /ground/soil/./	EARTH (SOIL)	1228	F	28402	earth (soil, ground)	bhū, bhõ	hind1269	Hindi	25	77	3
44100-1023-1	T		EAT	1336	T	28403	to eat	khānā	hind1269	Hindi	25	77	
44100-1024-1	T		EGG	744	T	28404	egg	aṇḍā	hind1269	Hindi	25	77	
44100-1025-1	T		EYE	1248	T	28405	eye	ā̃kh	hind1269	Hindi	25	77	
44100-1025-2	T		EYE	1248	T	28406	eye	loyan	hind1269	Hindi	25	77	
44100-1013-1	T		FINGERNAIL	1258	T	28407	fingernail	nahã	hind1269	Hindi	25	77	
44100-1028-1	T		FIRE	221	T	28408	fire	āg, āgī	hind1269	Hindi	25	77	
44100-1029-1	T		FISH	227	T	28409	fish (n)	māch, machlī	hind1269	Hindi	25	77	
44100-1030-1	T		FLY (MOVE THROUGH AIR)	1441	T	28410	to fly	uṛnā	hind1269	Hindi	25	77	
44100-1031-1	T	/The correct spellings variants are /spā̃, pā̃i, pāu, pā̃u/; the meaning is /foot, leg, footprint/; so perhaps the words should be mapped to the FOOT OR LEG and FOOTPRINT concepts on the Concepticon./	FOOT	1301	F	28411	foot (not leg)	pā̃, pāu	hind1269	Hindi	25	77	2,3
44100-1032-1	T	/pūn, pūrā/	FULL	1429	F	28412	full	pūn	hind1269	Hindi	25	77	2
44100-1033-1	T		GIVE	1447	T	34465	to give	denā	hind1269	Hindi	25	77	
