	CONCEPT	CORRECT	GLOSS	FORM	PROBLEMS	SOURCE
0	EAT	T	to eat	(é̇sti)	-	The Intercontinental Dictionary Series. ids.clld.org
1	EYE	T	eye	akìs	-	The Intercontinental Dictionary Series. ids.clld.org
2	STONE (OF FRUIT)	T	stone	akmuõ	-	The Intercontinental Dictionary Series. ids.clld.org;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
5	"MEAD
beer"	F	mead	alùs	"beer in Diacl and Derksen
cause mead is a sweet alcoholic drink made from
 honey and water, drunk especially in the 
past while the item is connected to 'bitter'"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
6	SNAKE	T	snake	angìs	"in DiAcl: snake, viper
in Derksen: snake"	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
8	ROUND	T	round	apvalùs; ãpskritas	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.
9	???	F	hops	apynys‎	no concept	Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
10	PLOUGH (INSTRUMENT)	F	plough (noun)	árklas	in DiaCL - ploughman	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Walde,  Alois. (1910). Lateinische etymologisches Wörterbuch. 2. umgearb. Aufl. Heidelberg: C. Winter;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
13	I	T	I (1sg)	àš	-	The Intercontinental Dictionary Series. ids.clld.org
15	AXLE	T	axle	ašìs	DiaCL, Kroonen, Derksen: axle, axis	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
18	COME	T	to come	ateĩti	-	The Intercontinental Dictionary Series. ids.clld.org
20	EAR	T	ear	ausìs	-	The Intercontinental Dictionary Series. ids.clld.org
21	WEAVE	T	to weave	austi	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
23	SHEEP	F	sheep	avìs	ewe (f)	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
24	OAT	T	oats	avižà	-	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
25	FELT (wool)	F	fur	bálnas	Derksen: ‘white, having a white back (cattle)’	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
26	WHITE	T	white (colour)	báltas	-	The Intercontinental Dictionary Series. ids.clld.org
27	BEAR (brown)	F	bear	béras	DiaCL: brown	De Vries,  Jan (1977). Altnordisches etymologisches Wörterbuch. 3rd ed. Leiden: Brill;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
28	BIRCH	T	birch	béržas	-	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.
29	FURROW	T	furrow	bir̃žė	-	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
30	BEE	T	bee	bìtė	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
31	DEER	F	deer	briedis	"DiaCL: elk, moose. Google search: stag, elk, moose
take out"	Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
32	MOUTH	T	mouth	burnà	-	The Intercontinental Dictionary Series. ids.clld.org
35	SCYTHE	T	scythe	dal̃gis	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
36	TOOTH	T	tooth (general)	dantìs	-	The Intercontinental Dictionary Series. ids.clld.org
37	BE MANY	T	many	daũg, daũgelis	-	The Intercontinental Dictionary Series. ids.clld.org
38	CLOUD	T	cloud (not fog)	debesìs	-	The Intercontinental Dictionary Series. ids.clld.org
39	BURNING	T	to burn (intr.)	dègti, dẽginti	-	The Intercontinental Dictionary Series. ids.clld.org
