	CONCEPT	CORRECT	GLOSS	FORM	PROBLEMS	SOURCE
40	LEATHER	F	leather	derù, dirti	"to flay, to skin. Sources: Farren, Beeks, Buck.
Derksen: Lith. dìrti ‘tear, peel’, 1sg. dìriu; dirti ‘tear, peel’, 1sg. Derù"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
41	WOOD	F	wood	dervà	"Derksen: ‘chip of kindling wood, log from which tar is produced,
resin, TAR’"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
42	SPEAR		spear	dervà	same original word, different concept and gloss. Take out	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
43	BIG	T	big	dìdelis	-	The Intercontinental Dictionary Series. ids.clld.org
44	DRAW MILK	F	milk	dienì	DiaCL: pregnant *(with calf)	Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
45	EARTH (SOIL)	T	earth (soil, ground)	dirvà, dirvóžemis	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
46	WHEAT	F	wheat	dirvà, dirvóžemis	same word, different gloss and concept. Take out	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
47	???	F	cultivated field	dirvà, dirvóžemis	same word, different gloss and concept. Take out	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
48	SALT	T	salt	druska	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
49	TWO	T	two	dù	-	The Intercontinental Dictionary Series. ids.clld.org
50	SMOKE (EMIT SMOKE)	T	smoke (n)	dú̄mai	-	The Intercontinental Dictionary Series. ids.clld.org
51	GIVE	T	to give	dúoti	-	The Intercontinental Dictionary Series. ids.clld.org
52	WALK	T	to walk	eĩti	-	The Intercontinental Dictionary Series. ids.clld.org
53	DEER	T	deer	elenis	-	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
60	EAGLE	T	eagle	erẽlis	"no word in Derksen
the gloss and concept are right"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
62	ROOSTER	T	rooster	gaidys	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
63	HEAD	T	head (anatomic)	galvà	-	The Intercontinental Dictionary Series. ids.clld.org
64	HAIR (HEAD)	T	hair (of head)	gaũras	-	The Intercontinental Dictionary Series. ids.clld.org
65	SNAKE (shame)	F	snake	gė́da	"No in Derksen. In DiaCL: shame, disgrace
concept- shame"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
66	IRON (CLOTHES)	T	iron	geležìs	-	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
67	???	T	colour term yellow	geltónas	yellow	The Intercontinental Dictionary Series. ids.clld.org;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
68	YELLOW	T	yellow (colour)	geltónas	same word three times with different glosses and concepts (yellow)	The Intercontinental Dictionary Series. ids.clld.org;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
69	GOLD	F	gold	geltónas		The Intercontinental Dictionary Series. ids.clld.org;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
70	GOOD	T	good	gẽras	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.
71	DRINK	T	to drink	gérti	-	The Intercontinental Dictionary Series. ids.clld.org
72	HEAR	T	to hear	girdé̇ti	-	The Intercontinental Dictionary Series. ids.clld.org
73	"STONE (OF FRUIT)
forest/woods"	F	"stone
forest/woods"	girià	"Derksen: woods; DiaCL: forest
concept, gloss - forest/woods"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
74	GRAIN	F	grain (generic)	grūdai	"Pl
I DID CONFIRM THE MAPPING, WHILE IT'S IMPORTANT TO INDICATE ITS PLURALITY (base form is grūdas)"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
75	GRAIN	F	grain (generic)	grūdas	Sg	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
76	"LIE (MISLEAD)
Lie in the sense of recline"	F	to lie (recline)	gulé̇ti	"Mistake in the concept: it's a change in the
 physical position of the body"	Blažek,  Václav. Armenian Swadesh Etymology.
77	"CATTLE
be alibe"	F	"cattle
alive"	gývas	"Derksen: alive (+Theoretical Bases of Indo-European Linguistics by 
Winfred P. Lehmann)"	Boutkan,  Dirk & Siebinga,  Sjoerd Michiel. Old Frisian Etymological Dictionary. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/frisian/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
78	GRAIN	F	grain (generic)	gyvatà	"life, farm
Bauerngut (farm), Leben: Die russischen Lehnwörter der finnischen
 Schriftsprache by Angela Plöger"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
79	SPEAR	F	spear	iešmas	"Kroonen: spit, broach. DiaCL: spear, spit
1.spit; 2. railway point, switch (Handweiche)"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
80	SPEAR	T	spear	ietis	-	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
81	"GRAPE
which concept?"	F	grape	ievà	bird-cherry (Faulbaum)	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
82	LONG	T	long (adj)	ìlgas	-	The Intercontinental Dictionary Series. ids.clld.org
85	OX	T	ox	jautis	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
86	BARLEY	F	barley	javai	grains/corn/bearded wheat? (manual google search) better take out	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
87	"CHICKEN
lamb"	F	"chicken
lamb"	jė́ras	No in Derksen. In DiaCL: lamb	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
88	SPRING (OF WATER)	F	spring	jė́ras	same word	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
89	YOKE	T	yoke	jùngas	-	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
90	YOKE (which concept?)	F	yoke	junkti	"Derksen: get used to; DiaCL: to join (+ Lithuanian dictionary by 
Yushkevic)"	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
91	BLACK OR DARK	T	black (colour)	juodas	-	The Intercontinental Dictionary Series. ids.clld.org
92	DUCK	F	duck	kagenti	DiaCL: quack	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
93	FELT	F	fur	kailiniai	I confirmed, should be modified: PL only	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
94	FELT	F	fur	kailis	I confirmed but should be modified: fur coat	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
95	SKIN (HUMAN)	T	skin (person's)	káilis	-	The Intercontinental Dictionary Series. ids.clld.org
96	WHEEL	F	wheel	kãklas	Beekes: neck	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
97	NECK	T	neck	kãklas	-	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
98	SWORD	T	sword	kalavijas	-	Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Vasmer,  Max. 1952-58. Vasmer,  M. (1958). Russisches etymologisches Wörterbuch (4 Volumes). Heidelberg: C. Winter.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
99	SAY	T	to say	kalbé̇ti	-	The Intercontinental Dictionary Series. ids.clld.org
100	DOG	F	dog	kalė̃	DiaCL: bitch	Orel,  Vladimir E. (1998). Albanian etymological dictionary. Leiden: Brill;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
101	MOUNTAIN	T	mountain	kálnas, kalnẽlis	-	The Intercontinental Dictionary Series. ids.clld.org
102	"SPEAR
hoe"	F	spear	kaplys	DiaCL: hoe	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
103	AXE	F	axe	kapóti	"DiaCL: to dig 
to hew, to chop (verb)"	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
104	SPEAR	F	spear	kapóti	same original word, different meaning. Take out	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
105	AXE	F	axe	kàpti	"Confirmed the mapping but it's wrong

Beeks: to hew, fell
to strike, to beat: Sievers' Law and the History of Semivowel Syllabicity in Indo-European and Ancient Greek by P. J. Barber, Peter Jeffrey Barber"	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
106	SWORD	T	sword	kardas	-	Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
107	WARM (OF WEATHER)	T	warm (of weather)	kárštas	-	The Intercontinental Dictionary Series. ids.clld.org
108	LINEN	F	flax	kar̃šti, karšiù	Guus Kroonen: to card, comb	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
109	DEER (cow)	F	deer (cow)	kárvė	Michiel de Vaan: cow	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
110	WHO	T	who?	kàs?	-	The Intercontinental Dictionary Series. ids.clld.org
111	WHAT	T	what?	kàs?, ką̃?	-	The Intercontinental Dictionary Series. ids.clld.org
